word,phonetic,translation,frq
district,'distrikt,"n. 区域, 地方\n[医] 地区, 地段",1266
disturb,dis'tә:b,"vt. 扰乱, 妨碍, 使不安\n[法] 滋扰, 扰乱",4565
disturbance,dis'tә:bәns,"n. 扰乱, 不安, 忧虑\n[化] 扰动; 干扰; 失调",6265
disunite,.disju'nait,"vt. 使分离, 使不和",0
ditch,ditʃ,n. 沟渠\nvt. 在...开沟\nvi. 开沟,6890
dive,daiv,"n. 潜水, 跳水\nvi. 跳水, 俯冲, 猛冲\nvt. 把...突然伸入",5121
diver,'daivә,n. 潜水者,8238
diverge,dai'vә:dʒ,"vi. 分歧, 岔开\nvt. 使岔开",13852
divergence,dai'vә:dʒәns,n. 分歧\n[计] 分散度,14673
divergent,dai'vә:dʒәnt,"a. 有分歧的\n[医] 散开的, 偏斜的",11171
diverse,dai'vә:s,"a. 不同的, 变化多的",2813
diversification,daivә:sifi'keiʃәn,"n. 变化, 多样化\n[经] 分散",13436
diversified,dai'vә:sifaid,"a. 多样化的, 各种的",15056
diversify,dai'vә:sifai,"vt. 使多样化, 使变化",8552
diversion,dai'vә:ʒәn,n. 转移\n[医] 转向,7508
diversity,dai'vә:siti,"n. 差异, 多样性\n[化] 多样性",2531
divert,dai'vә:t,"vt. 转移, 使欢娱\nvi. 转移",5673
divide,di'vaid,"vi. 分开, 分配, 分裂\nvt. 分, 分开, 分裂, 除\nn. 分配, 分水岭\n[计] 除",1942
division,di'viʒәn,"n. 分, 分开, 除法, 部门(如部、处、系等), 师\n[计] 部分",1849
divorce,di'vɒ:s,n. 离婚\nvt. 与...离婚,2978
divulge,di'vʌldʒ,"vt. 泄露, 透露",13715
dizziness,'dizinis,"n. 头昏眼花\n[医] 头晕, 头昏",14806
dizzy,'dizi,"a. 晕眩的, 眼花缭乱的\nvt. 使晕眩",8740
dizzying,'dizi:iŋ,a. 令人昏乱的；极快的；灿烂的,12578
docile,'dәusail,"a. 容易教的, 温顺的",18932
doctrine,'dɒktrin,"n. 教条, 学说\n[医] 学说",3746
document,'dɒkjumәnt,"n. 文件, 公文, 文档\nvt. 证明, 为...引证\n[计] 文档",1389
documentary,.dɒkju'mentәri,n. 记录片\na. 文件的,4222
documentation,.dɒkjumen'teiʃәn,"n. (总称)文件\n[计] 文件编制, 文档",6799
dodge,dɒdʒ,"v. 避开, 躲避\nn. 诡计, 躲藏",6931
dogged,'dɒgid,"a. 顽固的, 顽强的",19046
dogma,'dɒgmә,n. 教条,11758
dogmatic,dɒg'mætik,"a. 教条的, 武断的",16420
doleful,'dәulful,"a. 悲哀的, 忧郁的, 阴沉的",29302
doll,dɒl,"n. 洋娃娃, 无头脑的美丽女人",3823
dolorous,'dɒlәrәs,"a. 忧伤的, 悲痛的",39999
dolphin,'dɒlfin,n. 海豚,8137
domain,dәu'mein,"n. 领域, 领土, 产业, 范围\n[计] 域, 区域, 支配命令",3627
domestic,dәu'mestik,"a. 家庭的, 国内的, 驯养的\n[医] 家庭的, 家用的",1547
domesticate,dәu'mestikeit,"vt. 养驯, 引进(外来词等), 教化",26128
domesticated,dəʊ'mestɪkeɪtɪd,a. 喜欢家庭生活的; （指动物）被驯养了的\nv. 驯化( domesticate的过去式和过去分词 ),15833
dominant,'dɒminәnt,"a. 占优势的, 支配的\n[医] 优性的, 显性的",3174
dominate,'dɒmineit,"v. 支配, 占优势",2312
dominion,dә'minjәn,"n. 领土, 主权, 统治\n[法] 统治权, 主权, 统治",14454
donate,'dәuneit,v. 捐赠,4095
donation,dәu'neiʃәn,"n. 捐赠物, 捐款, 捐赠\n[经] 赠品, 捐款, 捐赠",4336
donor,'dәunә,n. 捐赠人\n[化] 给体; 供体,3847
doom,du:m,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡\nvt. 命中注定, 判决",7469
dormant,'dɒ:mәnt,"a. 睡眠状态的, 静止的\n[医] 休眠的, 不活动的, 休止的",11487
dormitory,'dɒ:mitәri,n. 宿舍,10947
dorsal,'dɒ:sәl,"a. 背的, 背部的, 背侧的\n[医] 背的, 背侧的",19488
dot,dɒt,"n. 点, 圆点, 小数点, 小东西, 嫁妆\nvt. 作小点记号, 加小点于\nvi. 打上点\n[计] 点",4480
doubt,daut,"n. 怀疑, 疑惑\nv. 怀疑, 不信",1906
doubtful,'dautful,"a. 可疑的, 疑心的, 不明确的\n[法] 怀疑的, 有疑问的, 未确的",9015
down,daun,"a. 向下的\nadv. 下, 下去, 降下\nprep. 往下, 沿着\nn. 丘陵, 软毛, 开阔的高地\n[计] 向下, 退下命令",118
downcast,'daunkɑ:st,"a. 气馁的, 沮丧的",21594
downtown,'daun'taun,n. 市中心区\na. 市中心的\nadv. 往闹市区,3116
doze,dәuz,"vi. 打瞌睡, 假寐\nvt. 打瞌睡度过\nn. 瞌睡",11330
draft,dræft. drɑ:ft,"n. 气流, 草稿, 汇票, 草案\nvt. 起草, 征兵\n[计] 草稿",2624
drag,dræg,"n. 拖, 拖累\nv. 拖累, 拖拉, 沉重缓慢地走, 拖动\n[计] 拖动",2127
dragonfly,'drægәnflai,n. 蜻蜓,18401
drain,drein,"n. 排水沟, 消耗, 排水\nvt. 排出, 喝光, 耗尽\nvi. 排水, 流干",3601
drainage,'dreinidʒ,"n. 排水\n[医] 引流[法], 导液[法], 排水[设备]",7695
drama,'drɑ:mә,"n. 戏剧, 戏剧艺术",2631
dramatic,drә'mætik,"a. 戏剧性的, 生动的",2119
dramatically,drә'mætikli,"adv. 戏剧地, 引人注目地, 突然地",3364
dramatize,'dræmәtaiz,"vt. 改编成戏剧, 编写剧本\nvi. 戏剧化",12771
drastic,'dræstik,"a. 激烈的\n[医] 峻泻药, 剧烈的",8118
draw,drɒ:,"vi. 拉, 拖, 拔剑\nvt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引\nn. 拉, 拖, 拔出, 抽签, 平局\n[计] 翻牌, 绘图",592
drawback,'drɒ:bæk,"n. 缺点, 退税\n[法] 退款, 退税",8563
drawer,'drɒ:ә,"n. 抽屉, 开票人\n[计] 抽屉",4212
drawing,'drɒ:iŋ,"n. 图画, 制图, 拉\n[计] 绘图",2521
dread,dred,"n. 恐惧, 可怕的人(或事)\na. 可怕的, 可怖的\nv. 恐惧, 害怕",9181
dreadful,'dredful,a. 可怕的,9280
dreadfully,'dredfjli,"adv. (非正式)非常, 可怕地, 令人惊骇地",24065
dreary,'driәri,a. 沉闷的,12828
drift,drift,"n. 漂流物, 漂流, 动向\nv. (使)漂流",3599
driftwood,'driftwud,"n. 漂流木, 浮木",18250
drill,dril,"n. 钻孔机, 钻子, 播种机, 粗斜纹布\nv. 训练, 钻孔",4760
drip,drip,n. 水滴\nv. (使)滴下,6019
dripstone,'dripstәun,n. 滴水石,0
drizzle,'drizl,n. 细雨\nv. 下毛毛雨,9773
droplet,'drɒplit,n. 小滴\n[医] 小滴,12935
drought,draut,"n. 干旱, 缺乏",5353
drowsy,'drauzi,"a. 昏昏欲睡的\n[医] 倦睡的, 瞌睡的",17024
drub,drʌb,"vt. 用棒打, 殴打, 硬灌(观念等)\nvi. 敲击",34954
drudgery,'drʌdʒәri,"n. 苦差事, 苦工",20108
dual,'dju:әl,"a. 双重的, 双的\nn. 双数",5602
dubious,'dju:biәs,"a. 可疑的, 不确定的",7599
ductile,'dʌktail,"a. 易延展的, 韧性的, 易教导的\n[医] 延伸性的",35384
due,dju:,"n. 应得的东西, 应付款\na. 到期的, 应得的, 应付的, 约定的",1796
dues,,"n. 税, 应付款, 该缴之款\n[经] 会费, 捐费, 手续费",10492
dull,dʌl,"a. 钝的, 无趣的, 呆滞的, 阴暗的\nvt. 使迟钝, 使阴暗, 缓和\nvi. 变迟钝, 减少",5094
dumb,dʌm,"a. 哑的, 不说话的, 无声音的\n[医] 哑的",4659
dump,dʌmp,"n. 垃圾场\nvt. 倾倒, 倾销\nvi. 倒垃圾, 倾销商品\n[计] 转出; 转储; 倾卸; 切断电源",3636
dunce,dʌns,"n. 智力迟钝的学生, 傻瓜",27716
dungeon,'dʌndʒәn,n. 地牢,17135
duplicate,'dju:plikeit,"n. 副本, 复本, 复制品\na. 复制的, 二重的\nvt. 复制, 使加倍\n[计] 复制",9237
durable,'djurәbl,"a. 持久的, 耐用的",7949
duration,dju'reiʃәn,"n. 持续时间, 持续\n[计] 持续时间",5426
dusky,'dʌski,"a. 微暗的, 暗淡的, 暗黑色的, 多黑影的, 黑黝黝的, 微黑色的, 忧郁的",18555
dwarf,dwɒ:f,"n. 矮子, 侏儒\nv. (使)变矮小",6855
dwell,dwel,"vi. 居住, 居住(于), 存在(于)",7180
dweller,'dwelә,n. 居民,10815
dwelling,'dweliŋ,n. 住处\n[医] 住房,8213
dwindle,'dwindl,"vi. 减少, 缩小, 衰落\nvt. 使缩小",10733
dye,dai,"n. 颜料, 染料\nvt. 染, 染色\nvi. 被着色",8956
dynamic,dai'næmik,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的\nn. 动力, 动态\n[计] 动态的",3978
dynamics,dai'næmiks,n. 动力学\n[化] 动力学,4071
eager,'i:gә,"a. 热心的, 渴望的, 热望的",3123
earnest,'ә:nist,"n. 定金, 诚挚, 认真\na. 认真的, 热心的, 重要的",7000
earthenware,'ә:θәnweә,n. 陶器\n[化] 陶器; 土器,19779
earthquake,'ә:θkweik,n. 地震,4261
ebb,eb,"n. 退潮, 衰退\nvi. 潮退, 衰退",14957
eccentric,ik'sentrik,"n. 怪人, 偏心圆\na. 古怪的, 反常的, 不同圆心的",8531
eccentricity,.eksen'trisiti,"n. 古怪, 古怪行为, 怪癖\n[化] 偏心度; 偏心距; 偏心率",15942
echo,'ekәu,"n. 回声, 回音, 回波\nvi. 发回声, 随声附和\nvt. 摹仿, 重复, 反射\n[计] 回显; DOS批处理命令:控制MS-DOS命令是否在屏幕上显示",3424
eclat,,"n. 大成功, 喝采",42156
eclecticism,ek'lektisizm,"n. 折衷派, 折衷主义, 折衷说\n[医] 折衷[主义]医学",27332
eclipse,i'klips,"n. 日食, 月食, (地位名誉等的)消失\nvt. 引起日食, 引起月食, 使黯然失色",7609
ecological,.i:kә'lɒdʒikәl,"a. 生态学的, 主张生态保护的\n[法] 生态的, 生态学的",4396
ecologist,i:'kɒlәdʒist,n. 生态学者,11275
ecology,i:'kɒlәdʒi,"n. 生态学, 社会生态学\n[化] 生态学",6425
economic,.i:kә'nɒmik,"a. 经济上的, 实用的, 节省的\n[经] 经济的",453
economical,.i:kә'nɒmikәl,"a. 节俭的, 经济的, 合算的\n[经] 经济的, 节约的",11250
economics,.i:kә'nɒmiks,n. 经济学\n[经] 经济学,3186
economize,i'kɒnәmaiz,"v. 节约, 节省, 有效地利用",25167
ecosystem,'i:kәu.sistәm,n. 生态系统\n[医] 生态系,4528
ecstasy,'ekstәsi,"n. 狂喜, 心醉神迷, 忘形\n[医] 入迷",9422
edentate,i:'denteit,"a. 无齿的, 贫齿目的\nn. 贫齿目动物",0
edge,edʒ,"n. 边缘, 尖锐, 刀刃, 优势\nvt. 使锐利, 挤进, 镶边\nvi. 缓缓移动",977
edible,'edibl,"n. 食品, 食物\na. 可食用的",10611
edifice,'edifis,"n. 大厦, 大建筑物",14677
edify,'edifai,"vt. 启迪, 熏陶, 教诲",28444
educable,'edjukәbl,a. 可教育的,0
educated,'edjukeitid,"a. 受过教育的, 有教养的",5938
education,.edju'keiʃәn,"n. 教育, 训练, 教育学\n[医] 教育, 训练",376
educe,i'dju:s,"vt. 引出, 推断出, 使显出",0
efface,i'feis,"vt. 抹去, 消除, 忘却",24301
effect,i'fekt,"n. 结果, 影响, 效果, 印象\nvt. 实行, 引起, 完成\n[计] 效果",427
effective,i'fektiv,"a. 有效的, 有力的, 实际的\nn. 有生力量",1133
effectiveness,i'fektivnis,"n. 效力\n[经] 有效性, 能行性",3543
effervesce,.efә'ves,"vi. 冒泡, 泡腾, 兴奋\n[医] 起泡, 发气泡",0
efficacy,'efikәsi,"n. 功效, 效力\n[医] 效能, 功效, 效验",6281
efficiency,i'fiʃәnsi,"n. 效率, 效能, 功效\n[医] 效率, 效力",3047
efficient,i'fiʃәnt,"a. 有效率的, 能干的",2998
effigy,'efidʒi,"n. 肖像, 雕像",18533
effluent,'efluәnt,"a. 流出的, 射出的\nn. 流出物, 由河湖等流出之水流",14295
effrontery,i'frʌntәri,n. 厚颜无耻,35532
eggshell,'egʃel,n. 蛋壳,20406
egoism,'egәuizm,"n. 自我主义, 利己主义",30923
egress,'i:gres,"n. 出口, 外出\nvi. 外出",29282
eject,i'dʒekt,"vt. 逐放, 放逐, 喷射\n[化] 排出",10924
elaborate,i'læbәreit,"a. 精细的, 详尽的, 精心计划(或制作)的\nvt. 详细地说明, 用心地制作, 发挥\nvi. 变复杂, 作详细说明",4630
elaborately,i'læbәreitli,"adv. 苦心经营地, 精巧地",16169
elapse,i'læps,"vi. 逝去, 过去\nn. 逝去, 过去",16721
elasticity,i.læs'tisiti,"n. 弹力, 弹性\n[化] 弹性",14233
elation,i'leiʃәn,"n. 得意洋洋, 兴高采烈\n[医] 得意[洋洋], 高兴",17553
elbow,'elbәu,"n. 手肘, 弯头, 扶手\nv. 用手肘推开, 推挤",3512
election,i'lekʃәn,"n. 选举, 当选, 选择权\n[法] 选举, 当选",801
electromagnetic,ilektrәj'mæ^nitik,"a. 电磁的, 由电磁石产生的\n[电] 电磁的",10597
electron,i'lektrɒn,n. 电子\n[化] 电子,5566
elegance,'eligәns,"n. 高雅, 典雅, 优雅",9284
elegant,'eligәnt,"a. 优雅的, 端庄的, 高雅的",3942
element,'elimәnt,"n. 元件, 元素, 要素\n[计] 部分; 成分; 单元; 码元; 元件; 元素; 单元",1214
elementary,.eli'mentәri,"a. 初步的, 基本的\n[医] 元素的, 基础的, 初级的",2511
elevate,'eliveit,"vt. 举起, 提拔, 鼓舞",6022
elevation,.eli'veiʃәn,"n. 海拔, 提高, 仰角\n[计] 仰角",6693
elevator,'eliveitә,"n. 电梯, 升降机\n[化] 提升机",3871
elicit,i'lisit,"vt. 引出, 推导出, 引起",6680
eligible,'elidʒәbl,"a. 有资格当选的, 合格的\nn. 有资格者, 合格者, 适任者",4608
eliminate,i'limineit,"vt. 除去, 排除, 剔除, 消除",1838
elimination,i.limi'neiʃәn,"n. 除去, 消除, 消灭\n[化] 消去; 脱去",7330
elite,ei'li:t,"n. 精华, 精锐, 中坚分子",2735
elixir,i'liksә,"n. 炼金药, 不老长寿药, 万能药\n[化] 酏剂",19166
elliptical,i'liptikәl,a. 椭圆的\n[医] 椭圆形的,13889
elongate,'i:lɒŋgeit,"v. 延长, (使)伸延\na. 伸长的",24478
eloquence,'elәkwәns,"n. 口才, 雄辩术, 雄辩\n[法] 善辩, 口才",16655
eloquent,'elәkwәnt,"a. 雄辩的, 有口才的, 有说服力的",10294
elucidate,i'lu:sideit,"vt. 阐明, 说明",16285
elude,i'lu:d,"vt. 逃避, 规避, 把...难倒",9267
elusive,i'lu:siv,"a. 难懂的, 易忘的, 难以捉摸的",6930
emaciate,i'meisieit,"vt. 使消瘦, 使憔悴\nvi. 消瘦",26620
emaciated,i'meisieitid,"a. 瘦弱的, 衰弱的",22698
emanate,'emәneit,"vi. 散发, 发出, 发源",8681
emancipate,i'mænsipeit,"vt. 释放, 解放",23235
emancipation,i.mænsi'peiʃәn,"n. 释放, 解放\n[医] 解放(胎儿在母体内成立局部自主状态)",15524
embalm,im'bɑ:m,"vt. 以药物防腐, 铭记于心, 使不朽",22768
embarrass,im'bærәs,"vt. 使困窘, 使局促不安, 阻碍",7138
embed,im'bed,"vt. 使插入, 使嵌入, 使深留脑中\n[计] 嵌入",6007
embellish,im'beliʃ,"vt. 修饰, 装饰, 润色",12591
embellishment,im'beliʃmәnt,"n. 装饰, 润色, 修饰",18280
embezzle,im'bezl,"vt. 盗用, 挪用\n[经] 贪污(公款), 盗用",22735
embitter,im'bitә,"vt. 使受苦, 使(更)恶化, 使怨恨, 加苦味于",25659
emblem,'emblәm,"n. 象征, 徽章, 符号\nvt. 用象征表示",10014
embody,im'bɒdi,"vt. 具体表达, 使具体化\n[经] 合并, 具体化, 具体表现",5093
embosom,im'buzәm,"vt. 围绕, 环绕, 珍爱",0
emboss,im'bɒs,"vt. 浮雕, 加以浮饰, 装饰\n[化] 压印",22081
embrace,im'breis,"n. 拥抱\nvt. 拥抱, 互相拥抱, 包含, 收买\nvi. 拥抱",2473
embroider,im'brɒidә,"vt. 刺绣, 镶边, 装饰\nvi. 绣花",13767
embroidery,im'brɒidәri,"n. 刺绣品, 粉饰, 刺绣",14265
embryo,'embriәu,"n. 胚胎, 胎儿, 胚芽\n[医] 胚, 胚胎",6655
embryological,ˌembrɪə'lɒdʒɪkl, [医]胚胎学的,45382
embryonic,.embri'ɒnik,"a. 萌芽的, 初期的, 未成熟\n[医] 胚胎的",10348
emend,i'mend,"vt. 修订, 校勘",45301
emerge,i'mә:dʒ,"vi. 浮现, 形成, 出现, (事实)显露",1300
emergence,i'mә:dʒәns,"n. 出现, 浮现, 发生",5719
emerging,,"[法] 出现的, 发生的, 形成的",4477
emigrant,'emigrәnt,"n. 移民, 侨民\na. 移民的, 移居的",15516
emigrate,'emigreit,"v. (使)移居, (使)移民",10660
eminence,'eminәns,"n. 显赫, 名家, 高处\n[医] 隆起, 隆凸",20054
eminent,'eminәnt,"a. 显赫的, 杰出的, 有名的",11109
emission,i'miʃәn,"n. 发射, 射出, 发行\n[医] 发射, 遗精",2915
emit,i'mit,"vt. 发出, 放射, 发表(意见等), 散发, 发行\n[化] 放射",6273
emolument,i'mɒljumәnt,"n. 薪水, 报酬",44843
emotion,i'mәuʃәn,"n. 情绪, 激动, 强烈的情感\n[医] 情绪, 情感",2117
emotional,i'mәuʃәnәl,"a. 情绪的, 情感的\n[医] 情绪的",1617
emphasis,'emfәsis,"n. 强调, 加强, 重点, 强语气",2346
emphasize,'emfәsaiz,"vt. 强调, 加强语气, 着重",1975
emphatic,im'fætik,"a. 语调强的, 着重的, 强调了的",14058
employ,im'plɒi,"n. 雇用\nvt. 雇用, 使用, 使从事于",1962
employee,.emplɒi'i:,"n. 职员, 员工, 受雇人员\n[化] 职工; 雇员",930
employer,im'plɒiә,"n. 雇主, 老板\n[经] 雇主, 业主",2297
empower,im'pauә,"vt. 授予权力, 允许, 使能够\n[法] 授权, 准许, 转委",6207
empty,'empti,"a. 空的, 空虚的, 空腹的, 空洞的\nn. 空的东西, 空车\nvt. 倒空, 使变空, 使排出\nvi. 流空\n[计] 空",1644
emulate,'emjuleit,"vt. 效法, 尽力赶上, 同...竞争\n[计] 仿真",9025
enable,i'neibl,"vt. 使能够\n[计] 允许, 使能, 打开",2192
enact,i'nækt,"vt. 制定法律, 扮演, 颁布\n[法] 法令, 法规, 条例",4710
enactment,i'næktm(ә)nt,"n. 制定, 条例, 法规, 法令, 颁布, 规定\n[法] 制定, 规定, 颁布",12667
encase,in'keis,"vt. 把...装入箱内, 包住",13206
enchant,in'tʃænt,"vt. 施魔法, 使入迷",17449
enclose,in'klәuz,"vt. 围绕, 圈起, 放入封套, 附上",8459
enclosure,in'klәuʒә,"n. 附件, 围墙, 围绕\n[化] 机壳; 外壳",9856
encompass,in'kʌmpәs,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围",5635
encounter,in'kauntә,"n. 相会, 相遇, 遭遇\nvt. 遇见, 邂逅, 会战\nvi. 偶然相遇",2712
encourage,in'kʌridʒ,"vt. 鼓励, 支持, 激励\n[法] 怂恿, 煽动, 助长",1184
encroach,in'krәutʃ,"vi. 侵犯, 侵蚀, 蚕食\n[法] 侵犯, 侵入, 侵占",15316
encumber,in'kʌmbә,"vt. 妨害, 阻塞, 拖累\n[经] 使负(债等), 负有义务",27430
encyclopedia,in.saiklәu'pi:diә,n. 百科全书,10470
endanger,in'deindʒә,"vt. 危及\n[法] 使危险, 危及",7141
endangered,in'deindʒәd,a. 有生命危险的；濒临灭绝的,5283
endeavor,in'devә,"n. 努力, 尽力\nvi. 努力, 尽力",5892
endeavour,in'devә,"n. 努力, 力图, 尽力\nvi. 努力, 力图, 尽力",31964
endless,'endlis,"a. 不停的, 无穷尽的, 无尽的\n[机] 无端的, 环状的",3722
endlessly,'endlisli,"adv. 不断地, 无穷尽地",8760
endorse,in'dɒ:s,"vt. 支持, 赞同, 背书于, 签署\n[经] 赞成, 背书",3884
endotherm,'endәθә:m,n. 热血动物\n[机] 吸热线,0
endotoxin,.endә'tɒksin,n. 内毒素\n[化] 内毒素,32684
endow,in'dau,"vt. 捐赠, 捐助, 赋予\n[法] 赠送财产给, 分给寡妇一份遗产, 授与",9907
endowment,in'daumәnt,"n. 捐助, 天赋, 才能\n[经] 捐赠, 捐款, 养老金",10430
endue,in'dju:,"vt. 授予, 赋予, 穿上",0
endurance,in'djuәrәns,"n. 忍耐, 忍耐力, 耐性\n[机] 持九性",7739
endure,in'djuә,"vt. 忍受, 忍耐, 容忍, 耐\nvi. (正式)持久, 持续\n[计] 仍能工作, 继续工作",3650
enduring,in'djuәriŋ,"a. 持久的, 忍耐的",6731
energetic,.enә'dʒetik,"a. 精力充沛的, 积极的",7129
energize,'enәdʒaiz,"vt. 使活跃, 激励, 供给...能量\n[电] 激励",9205
enervate,'enәveit,"vt. 使衰弱\na. 衰弱的, 无力的",33185
engage,in'geidʒ,"vi. 答应, 从事, 交战\nvt. 使忙碌, 雇佣, 预定, 使从事于, 使参加",1387
engaging,in'geidʒiŋ,"a. 动人的, 迷人的, 有魅力的",10067
engender,in'dʒendә,"vt. 产生, 引起\nvi. 发生, 形成",9295
engrave,in'greiv,"vt. 刻上, 雕刻, 铭记",12280
engraving,in'greiviŋ,"n. 雕刻, 镌版术, 雕版",12231
engross,in'grәus,"vt. 用大字体书写, 独占(市场), 使全神贯注\n[法] 正式誊写, 以大字写, 囤积",16062
engulf,in'gʌlf,"vt. 卷入, 吸进, 吞没, 使全神贯注",9563
enhance,in'hæns,"vt. 提高, 加强, 增加",2331
enigma,i'nigmә,"n. 谜, 费解的事物",14247
enigmatic,.enig'mætik,"a. 费解的, 谜一般的, 高深莫测的",11873
enlighten,in'laitn,"vt. 教育, 启发, 启蒙, 开导, 教导",11536
enlightenment,in'laitmәnt,"n. 启迪, 教化",11067
enlist,in'list,"vt. 征募, 参与, 谋取\nvi. 从军, 应募, 赞助",5254
enmity,'enmәti,"n. 敌意, 憎恨",17158
ennui,'ɒnwi:,"n. 倦怠, 厌倦\n[医] 厌倦",24297
enormity,i'nɒ:miti,"n. 暴行, 极恶, 巨大\n[法] 重罪, 大罪, 暴行",15686
enormous,i'nɒ:mәs,"a. 巨大的, 庞大的",1994
enrage,in'reidʒ,"vt. 激怒, 使暴怒",12957
enrapture,in'ræptʃә,vt. 使狂喜,26757
enrich,in'ritʃ,"vt. 使富足, 使肥沃",6879
enroll,in'rәul,"vt. 登记, 使加入\nvi. 参军, 注册",3994
ensemble,ɒn'sɒŋblә,"n. 全体, 合唱曲, (女人的)全套服装\n[化] 总体; 整体; 系综",5224
enslave,in'sleiv,"vt. 奴役, 束缚, 使受控制, 征服",14755
entail,in'teil,"vt. 使成为必需, 需要, 使承担, 遗传给\nn. 限定继承",6162
entangle,in'tæŋgl,"vt. 使纠缠, 卷入, 使混乱",14257
entanglement,in'tæŋglmәnt,"n. 纠缠, 卷入, 缠绕物\n[化] 缠结",15426
enterprise,'entәpraiz,"n. 企业, 事业心, 进取心, 干事业\n[计] 企业",2499
enterprising,'entәpraiziŋ,"a. 有魄力的, 有进取心的, 有事业心的",16208
entertain,.entә'tein,"vt. 娱乐, 招待, 怀抱\nvi. 款待",4949
entertainer,.entә'teinә,"n. 表演娱乐节目的人, 演艺人员",8547
entertainment,.entә'teinmәnt,"n. 娱乐, 款待, 娱乐表演",2350
enthral,in'θrɔ:l,"vt. 迷住, 奴役, 使做奴隶, 吸引住",0
enthrall,in'θrɒ:l,"vt. 迷惑, 奴役, 迷住",16003
enthusiasm,in'θju:ziæzәm,"n. 巨大的热情, 热心",3716
enthusiastically,in.θju:zi'æstikli,"adv. 热心地, 狂热地",10100
entice,in'tais,"vt. 诱骗, 引诱, 怂恿",9712
entitle,in'taitl,"vt. 给...权利, 取名为, 给予名称, 叫做\n[法] 给...权利, 使有资格, 称呼",3465
entitled,in'taitld,a. 有资格的；给与名称的,0
entity,'entiti,"n. 实体, 实存物, 存在\n[计] 实体",3932
entrance,'entrәns,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任\nvt. 使出神, 使入迷\n[计] 入口",2877
entrap,in'træp,"vt. 骗入, 诱捕, 使陷入",22164
entrenched,,"a. 牢固的, 根深蒂固的",12651
entrepreneur,.ɒntrәprә'nә:,"n. 企业家, 主办人\n[经] 承包商, 企业家",4279
entry,'entri,"n. 登录, 条目, 进入, 入口, 报关\n[计] 登录项, 输入项, 条目",2338
enumerate,i'nju:mәreit,"vt. 列举, 计算, 枚举, 数\n[法] 举出, 列举, 枚举",15043
enunciate,i'nʌnsieit,"vt. 明确地叙述, 表明\nvi. 发音",16845
envelop,in'velәp,"vt. 包封, 遮盖, 包围\nn. 信封",10650
envision,in'viʒәn,"vt. 想象, 预想",4483
envoy,'envɒi,"n. 外交使节, 特使\n[法] 使者, 代表, 使节",9956
enzyme,'enzaim,n. 酶\n[化] 酶,7064
ephemeral,i'femәrәl,"a. 朝生暮死的, 短命的, 短暂的\n[医] 暂时的",14116
epic,'epik,"n. 史诗, 叙事诗\na. 史诗的, 叙事诗的",8602
epidemic,.epi'demik,"n. 传染病, 流行病\na. 流行的, 传染性的",4919
epidermis,.epi'dә:mis,"n. 表皮, (昆虫的)真皮\n[医] 表皮",24661
episode,'episәud,"n. 插曲, 插话, 有趣的事件, 一段情节\n[医] 插话, 插曲, 发作",2846
epoch,'i:pɒk,"n. 新纪元, 时代, 时期",12794
equal,'i:kwәl,"n. 对手, 匹敌, 同辈\na. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的\nvt. 等于, 比得上\n[计] 等长度编码",1830
equality,i:'kwɒliti,"n. 平等, 均匀, 相等\n[法] 同等, 平等, 相等",4590
equate,i'kweit,"vt. 使相等, 视为平等\nvi. 等同",7997
equation,i'kweiʃәn,"n. 相等, 等式, 平衡\n[化] 方程式; 等式; 反应式; 公式",3982
equator,i'kweitә,"n. 赤道\n[医] 赤道, 中纬线",12760
equestrian,i'kwestriәn,"a. 骑术的, 马的, 骑在马背上的\nn. 骑手",16564
equilibrium,.i:kwi'libriәm,"n. 平衡, 平静, 均衡\n[化] 平衡",9063
equip,i'kwip,"vt. 装备, 配备\n[机] 设备, 装置",4145
equipment,i'kwipmәnt,"n. 装备, 设备, 才能\n[化] 设备; 装备; 装置",1352
equitable,'ekwitәbl,"a. 公平的, 公正的\n[法] 公平的, 公正的, 平衡法的",9927
equivalent,i'kwivәlәnt,"n. 同等物, 等价物, 相等物\na. 相等的, 相当的, 同意义的\n[计] 等价的",4330
equivocal,i'kwivәkl,"a. 意义不明确的, 模棱两可的\n[医] 双关的, 两可的",20444
equivocate,i'kwivәkeit,"vi. 说模棱两可的话, 支吾",31467
era,'iәrә,"n. 时代, 纪元, 时期",1884
eradicate,i'rædikeit,"vt. 根除, 扑灭, 根绝, 消灭",9110
erase,i'reis,"vt. 抹去, 擦掉\n[计] 清洗; 擦除; 抹除; DOS内部命令:从磁盘上删除一个或多个文件",5776
erect,i'rekt,"a. 直立的, 竖立的, 笔直的\nvt. 使竖立, 使直立, 树立, 建立\nvi. 勃起",6356
erode,i'rәud,"vt. 腐蚀, 侵蚀\nvi. 受腐蚀",6821
erosion,i'rәuʒәn,"n. 腐蚀, 冲蚀, 侵蚀\n[化] 磨耗; 侵蚀",5930
